grado,tiempo_estandar_ns,tiempo_horner_ns
10,396,114
20,679,189
30,952,195
40,1052,280
50,1170,301
60,1536,356
70,2161,496
80,2708,528
90,3107,651
100,3619,672
110,4111,653
120,3210,680
130,4824,831
140,4299,799
150,3419,838
160,4065,909
170,4219,956
180,4566,1011
190,5190,1085
200,4974,1263
210,6331,1360
220,6294,1245
230,5584,1291
240,6613,1373
250,5938,1399
260,5564,1439
270,5809,1491
280,6835,1552
290,8416,1607
300,6537,1653
310,7470,1720
320,9056,1787
330,9148,1818
340,8186,1945
350,7482,1925
360,8583,2007
370,9358,2033
380,8954,2084
390,9194,2129
400,8625,2188
410,8699,2249
420,10176,2309
430,11836,2549
440,11725,2720
450,12218,2518
460,11763,2531
470,12975,2674
480,12682,2642
490,10819,2752
500,10867,2941
510,13240,2816
520,17257,3040
530,17771,3007
540,17278,3066
550,16429,3001
560,13686,3086
570,13826,3165
580,14001,3475
590,15031,3238
600,18618,3621
610,17509,3420
620,17097,3563
630,17663,3745
640,15419,3485
650,15406,3547
660,14495,3595
670,14064,3636
680,15464,3700
690,16344,3744
700,16908,3802
710,16054,3850
720,17270,3903
730,17304,3951
740,19223,4015
750,15415,4070
760,15573,4118
770,16009,4178
780,18015,4233
790,15837,4286
800,17923,4343
810,17148,4513
820,19747,4466
830,20264,4511
840,20869,5011
850,21149,4744
860,21502,4680
870,18886,5225
880,24254,4947
890,22601,5175
900,19893,5024
910,24423,5155
920,23607,5388
930,21029,5052
940,20179,5105
950,24439,5207
960,20974,5313
970,23075,5257
980,21380,5324
990,21196,5347
1000,19518,5402
